Case Number,Date Reported,Time Reported,Month Reported,Day of Week,Call for Service Nature,Address of Occurrence,Reporting District,Agency,Report/No Report
B16-19557,5/23/16,1:30 PM,May,Monday,DISTURBANCE IP,310 S COLLEGE AVE; COURTYARD BLOOMINGTON,LB103,BPD,NO REPORT NEEDED
B16-19508,5/23/16,5:33 AM,May,Monday,DISTURBANCE IP,504 S BASSWOOD DR; APT N,LB404,BPD,REPORT NEEDED
B16-19626,5/23/16,9:35 PM,May,Monday,DISTURBANCE IP,520 S WALNUT ST; US POST OFFICE DOWNTOWN,LB410,BPD,NO REPORT NEEDED
B16-19525,5/23/16,8:58 AM,May,Monday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-19532,5/23/16,9:57 AM,May,Monday,DISTURBANCE IP,800 N SMITH RD; APT D8,LB218,BPD,NO REPORT NEEDED
B16-19537,5/23/16,10:27 AM,May,Monday,DISTURBANCE NP,3600 N PROW RD; BLOOMINGTON MEADOWS HOSPITAL,LB503,BPD,NO REPORT NEEDED
B16-19502,5/23/16,4:24 AM,May,Monday,DRUNK,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-19498,5/23/16,2:40 AM,May,Monday,NOISE,1215 N WOODBURN AVE,LB519,BPD,NO REPORT NEEDED
B16-19616,5/23/16,8:04 PM,May,Monday,NOISE,N WALNUT ST & E 10TH ST,LB102,BPD,NO REPORT NEEDED
B16-19618,5/23/16,8:30 PM,May,Monday,PANHANDLING,1713 N COLLEGE AVE; SOL SPA TANNING,LB512,BPD,NO REPORT NEEDED
B16-19561,5/23/16,1:54 PM,May,Monday,PANHANDLING,3477 W 3RD ST;PLANET FITNESS,LB403,BPD,NO REPORT NEEDED
B16-19515,5/23/16,7:18 AM,May,Monday,VANDALISM NP,105 N PETE ELLIS DR; ACADEMIC SCHOLARLY BOOKSTORE,LB221,BPD,REPORT NEEDED
B16-19526,5/23/16,9:02 AM,May,Monday,VANDALISM NP,115 E 16TH ST,LB213,BPD,REPORT NEEDED
B16-19519,5/23/16,8:01 AM,May,Monday,VANDALISM NP,143 S KINGSTON DR; DAVITA DIALYSIS,LB221,BPD,REPORT NEEDED
B16-19578,5/23/16,3:34 PM,May,Monday,VANDALISM NP,3205 W STATE ROAD 45; SAMS CLUB,LB416,BPD,REPORT NEEDED
B16-19566,5/23/16,2:26 PM,May,Monday,VANDALISM NP,3811 E MCCRACKEN WAY; APT 6,LB220,BPD,REPORT NEEDED
B16-19555,5/23/16,1:06 PM,May,Monday,VANDALISM NP,601 E 10TH ST; PRITCHARDS SERVICE CENTER,LB214,BPD,REPORT NEEDED
B16-19646,5/24/16,12:04 AM,May,Tuesday,DISTURBANCE IP,100 S PETE ELLIS DR; APT D6,LB221,BPD,REPORT NEEDED
B16-19699,5/24/16,11:15 AM,May,Tuesday,DISTURBANCE IP,100 W KIRKWOOD AVE; MONROE COUNTY COURTHOUSE,LMNC,BPD,NO REPORT NEEDED
B16-19687,5/24/16,9:57 AM,May,Tuesday,DISTURBANCE IP,2617 E 3RD ST; RED LOBSTER,LB221,BPD,NO REPORT NEEDED
B16-19673,5/24/16,7:16 AM,May,Tuesday,DISTURBANCE IP,275 E WINSLOW RD; VILLAGE PANTRY SOUTH,LB327,BPD,NO REPORT NEEDED
B16-19748,5/24/16,4:02 PM,May,Tuesday,DISTURBANCE IP,303 E KIRKWOOD AVE ; MONROE CO LIBRARY,LB102,BPD,NO REPORT NEEDED
B16-19756,5/24/16,5:17 PM,May,Tuesday,DISTURBANCE IP,3911 W MAYBURY MALL,LB428,BPD,NO REPORT NEEDED
B16-19721,5/24/16,1:58 PM,May,Tuesday,DISTURBANCE NP,910 N SUMMIT ST,LB517,BPD,NO REPORT NEEDED
B16-19647,5/24/16,12:14 AM,May,Tuesday,DRUNK,1306 W 11TH ST,LB517,BPD,NO REPORT NEEDED
B16-19718,5/24/16,1:43 PM,May,Tuesday,NOISE,1600 N WILLIS DR ; LOT 119,LB513,BPD,NO REPORT NEEDED
B16-19749,5/24/16,3:51 PM,May,Tuesday,NOISE,1600 N WILLIS DR; LOT 89,LB513,BPD,NO REPORT NEEDED
B16-19788,5/24/16,9:14 PM,May,Tuesday,NOISE,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT NEEDED
B16-19796,5/24/16,9:47 PM,May,Tuesday,NOISE,475 S PATTERSON DR; THE DILLON,LB406,BPD,NO REPORT NEEDED
B16-19774,5/24/16,7:03 PM,May,Tuesday,NOISE,612 S STATE ROAD 446; BLDG 26 APT C,LB307,BPD,NO REPORT NEEDED
B16-19653,5/24/16,12:32 AM,May,Tuesday,NOISE,S HENDERSON ST & E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-19754,5/24/16,4:53 PM,May,Tuesday,NOISE,S WALNUT ST & E KIRKWOOD AVE,,BPD,NO REPORT NEEDED
B16-19787,5/24/16,8:56 PM,May,Tuesday,PANHANDLING,S WALNUT ST & E GRIMES LN,LB314,BPD,NO REPORT NEEDED
B16-19735,5/24/16,3:28 PM,May,Tuesday,VANDALISM NP,2038 N WALNUT ST; GREAT WALL CHINESE RESTAURANT,LB212,BPD,REPORT NEEDED
B16-19873,5/25/16,12:37 PM,May,Wednesday,ALCOHOL RELATED,422 E KIRKWOOD AVE; WHICH WICH SUPERIOR SANDWICHES,LB104,BPD,NO REPORT NEEDED
B16-19890,5/25/16,3:22 PM,May,Wednesday,DISTURBANCE IP,1935 S LIBERTY DR; HELP AT HOME,LB416,BPD,REPORT NEEDED
B16-19862,5/25/16,10:38 AM,May,Wednesday,DISTURBANCE IP,211 N GRANT ST; APT B,LB102,BPD,NO REPORT NEEDED
B16-19954,5/25/16,10:41 PM,May,Wednesday,DISTURBANCE IP,301 S WALNUT ST; TRANSIT DEPOT,LB104,BPD,NO REPORT NEEDED
B16-19939,5/25/16,8:56 PM,May,Wednesday,DISTURBANCE IP,426 E MELROSE AVE,LB315,BPD,NO REPORT NEEDED
B16-19909,5/25/16,5:09 PM,May,Wednesday,DISTURBANCE IP,500 N PETE ELLIS DR,LB221,BPD,NO REPORT NEEDED
B16-19842,5/25/16,5:58 AM,May,Wednesday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-19831,5/25/16,2:13 AM,May,Wednesday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-19893,5/25/16,3:41 PM,May,Wednesday,DISTURBANCE NP,3443 W 3RD ST; OCCUPATIONAL HEALTH CLINIC,LB403,BPD,NO REPORT NEEDED
B16-19832,5/25/16,2:30 AM,May,Wednesday,DRUNK,430 E KIRKWOOD AVE; JIMMY JOHNS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-19875,5/25/16,12:38 PM,May,Wednesday,DRUNK,S LINCOLN ST & E 4TH ST,LB104,BPD,NO REPORT NEEDED
B16-19933,5/25/16,8:01 PM,May,Wednesday,NOISE,2462 S BURBERRY LN,LB326,BPD,NO REPORT NEEDED
B16-19876,5/25/16,12:25 PM,May,Wednesday,VANDALISM NP,112 W 6TH ST; 112 1/2 W 6TH ST,LB101,BPD,REPORT NEEDED
B16-19955,5/25/16,10:44 PM,May,Wednesday,VANDALISM NP,724 E MOODY DR,LB316,BPD,REPORT NEEDED
B16-20078,5/26/16,7:23 PM,May,Thursday,DISTURBANCE IP,338 S WASHINGTON ST; MIDDLE WAY HOUSE,LB104,BPD,NO REPORT NEEDED
B16-20057,5/26/16,5:10 PM,May,Thursday,DISTURBANCE IP,412 E 6TH ST; RUNCIBLE SPOON,LB102,BPD,NO REPORT NEEDED
B16-20017,5/26/16,12:05 PM,May,Thursday,DISTURBANCE IP,620 S WALNUT ST; SHALOM CENTER,LB410,BPD,NO REPORT NEEDED
B16-20063,5/26/16,5:41 PM,May,Thursday,DISTURBANCE IP,N DUNN ST & E 6TH ST,LB102,BPD,NO REPORT NEEDED
B16-20009,5/26/16,10:54 AM,May,Thursday,DRUNK,2701 E 3RD ST; CVS PHARMACY EAST 3RD ST,LB221,BPD,NO REPORT NEEDED
B16-19970,5/26/16,12:34 AM,May,Thursday,NOISE,1114 S WOODLAWN AVE,LB313,BPD,NO REPORT NEEDED
B16-19989,5/26/16,6:32 AM,May,Thursday,NOISE,1211 S BASSWOOD CIR,LB415,BPD,NO REPORT NEEDED
B16-19979,5/26/16,1:45 AM,May,Thursday,NOISE,238 N SMITH RD; APT 21,LB219,BPD,NO REPORT NEEDED
B16-20105,5/26/16,10:24 PM,May,Thursday,NOISE,311 E 1ST ST,LB301,BPD,NO REPORT NEEDED
B16-20011,5/26/16,11:13 AM,May,Thursday,PANHANDLING,405 E KIRKWOOD AVE; CAFE PIZZARIA,LB102,BPD,NO REPORT NEEDED
B16-20048,5/26/16,4:07 PM,May,Thursday,VANDALISM NP,2673 S MCCARTNEY LN,LB319,BPD,REPORT NEEDED
B16-20182,5/27/16,1:17 PM,May,Friday,DISTURBANCE IP,1600 N WILLIS DR; LOT 217,LB513,BPD,REPORT NEEDED
B16-20224,5/27/16,7:24 PM,May,Friday,DISTURBANCE IP,301 S WALNUT ST; BLOOMINGTON TRANSIT CENTER,LB104,BPD,NO REPORT NEEDED
B16-20205,5/27/16,4:02 PM,May,Friday,DISTURBANCE IP,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-20255,5/27/16,10:47 PM,May,Friday,DRUNK,1315 W 7TH ST,LB521,BPD,NO REPORT NEEDED
B16-20220,5/27/16,6:35 PM,May,Friday,DRUNK,2160 N WALNUT ST; DENNYS,LB212,BPD,NO REPORT NEEDED
B16-20157,5/27/16,10:13 AM,May,Friday,DRUNK,423 E KIRKWOOD AVE; NICKS ENGLISH HUT,LB102,BPD,NO REPORT NEEDED
B16-20131,5/27/16,4:22 AM,May,Friday,NOISE,1800 S PECAN LN,LB417,BPD,NO REPORT NEEDED
B16-20253,5/27/16,9:12 PM,May,Friday,NOISE,508 S BASSWOOD DR,LB404,BPD,NO REPORT NEEDED
B16-20178,5/27/16,12:34 PM,May,Friday,PANHANDLING,3233 W 3RD ST; BOB EVANS,LB403,BPD,NO REPORT NEEDED
B16-20226,5/27/16,7:44 PM,May,Friday,PANHANDLING,401 S WALNUT ST; CHOCOLATE MOOSE,LB104,BPD,NO REPORT NEEDED
B16-20202,5/27/16,3:34 PM,May,Friday,PANHANDLING,528 S COLLEGE AVE; KROGER SEMINARY SQUARE,LB410,BPD,NO REPORT NEEDED
B16-20191,5/27/16,2:04 PM,May,Friday,VANDALISM NP,1015 W GOURLEY PIKE,LB513,BPD,REPORT NEEDED
B16-20236,5/27/16,8:56 PM,May,Friday,VANDALISM NP,2910 S LEONARD SPRINGS RD; PLAZA WEST,LB428,BPD,NO REPORT NEEDED
B16-20173,5/27/16,11:58 AM,May,Friday,VANDALISM NP,343 E WINSLOW RD,LB326,BPD,REPORT NEEDED
B16-20141,5/27/16,6:56 AM,May,Friday,VANDALISM NP,343 E WINSLOW RD,LB326,BPD,REPORT NEEDED
B16-20245,5/27/16,10:01 PM,May,Friday,VANDALISM NP,501 N MORTON ST; SHOWERS BUILDING,LB101,BPD,REPORT NEEDED
B16-20200,5/27/16,3:18 PM,May,Friday,VANDALISM NP,703 W GOURLEY PIKE,LB513,BPD,REPORT NEEDED
B16-20308,5/28/16,9:03 AM,May,Saturday,ALCOHOL RELATED,202 E 6TH ST; MONROE COUNTY HISTORY CENTER,LB102,BPD,NO REPORT NEEDED
B16-20330,5/28/16,1:19 PM,May,Saturday,DISTURBANCE IP,1001 S HENDERSON ST; BRYAN PARK; BRYAN PARK PLAYGROUND,LB313,BPD,REPORT NEEDED
B16-20377,5/28/16,10:39 PM,May,Saturday,DISTURBANCE IP,1216 W 11TH ST,LB517,BPD,NO REPORT NEEDED
B16-20353,5/28/16,5:15 PM,May,Saturday,DISTURBANCE IP,215 N ROGERS ST,LB520,BPD,NO REPORT NEEDED
B16-20304,5/28/16,7:04 AM,May,Saturday,DISTURBANCE IP,300 S FAIRVIEW ST,LB409,BPD,NO REPORT NEEDED
B16-20300,5/28/16,5:56 AM,May,Saturday,DISTURBANCE IP,310 W 12TH ST,LB519,BPD,NO REPORT NEEDED
B16-20271,5/28/16,12:01 AM,May,Saturday,DRUNK,2550 E 3RD ST; HUHOT MONGOLIAN GRILL,LB304,BPD,NO REPORT NEEDED
B16-20361,5/28/16,7:06 PM,May,Saturday,DRUNK,S ROGERS ST & W GRAHAM DR,LB423,BPD,NO REPORT NEEDED
B16-20273,5/28/16,12:03 AM,May,Saturday,NOISE,1114 S WOODLAWN AVE,LB313,BPD,NO REPORT NEEDED
B16-20338,5/28/16,2:34 PM,May,Saturday,NOISE,1600 N WILLIS DR; LOT 89,LB513,BPD,NO REPORT NEEDED
B16-20293,5/28/16,2:56 AM,May,Saturday,NOISE,2500 S ROCKPORT RD; APT 1608,LB424,BPD,NO REPORT NEEDED
B16-20285,5/28/16,1:04 AM,May,Saturday,NOISE,3811 E MORNINGSIDE DR,LB220,BPD,NO REPORT NEEDED
B16-20340,5/28/16,2:50 PM,May,Saturday,NOISE,612 S STATE ROAD 446; APC 26C,LB307,BPD,NO REPORT NEEDED
B16-20375,5/28/16,9:54 PM,May,Saturday,NOISE,S HIGH ST & E MOORES PIKE,LB311,BPD,NO REPORT NEEDED
B16-20341,5/28/16,3:09 PM,May,Saturday,VANDALISM NP,1212 E SKYLARK CT,LB317,BPD,REPORT NEEDED
B16-20350,5/28/16,4:09 PM,May,Saturday,VANDALISM NP,2631 E 2ND ST; APT 3,LB304,BPD,REPORT NEEDED
B16-20398,5/29/16,3:12 AM,May,Sunday,DISTURBANCE IP,1521 S OLIVE ST,LB316,BPD,NO REPORT NEEDED
B16-20485,5/29/16,8:47 PM,May,Sunday,DISTURBANCE IP,2020 S WALNUT ST; SONIC,LB422,BPD,NO REPORT NEEDED
B16-20419,5/29/16,10:45 AM,May,Sunday,DISTURBANCE IP,3750 W 3RD ST; BURGER KING WEST,LB524,BPD,REPORT NEEDED
B16-20404,5/29/16,7:42 AM,May,Sunday,DISTURBANCE IP,411 E SOUTHERN DR,LB315,BPD,NO REPORT NEEDED
B16-20390,5/29/16,12:52 AM,May,Sunday,NOISE,1417 W 13TH ST,LB517,BPD,NO REPORT NEEDED
B16-20392,5/29/16,12:55 AM,May,Sunday,NOISE,612 S STATE ROAD 446; APT 26D,LB307,BPD,NO REPORT NEEDED
B16-20495,5/29/16,9:23 PM,May,Sunday,NOISE,916 S HIGHLAND AVE,LB313,BPD,NO REPORT NEEDED
B16-20500,5/29/16,10:49 PM,May,Sunday,NOISE,SHERIDAN & BALLANTINE,LB313,BPD,NO REPORT NEEDED
B16-20521,5/30/16,3:10 AM,May,Monday,DISTURBANCE IP,2160 N WALNUT ST; DENNYS,LB212,BPD,NO REPORT NEEDED
B16-20508,5/30/16,12:20 AM,May,Monday,DISTURBANCE IP,2430 S ROCKPORT RD,LB423,BPD,NO REPORT NEEDED
B16-20587,5/30/16,9:24 PM,May,Monday,DISTURBANCE IP,2500 S ROCKPORT RD ; APT 606,LB424,BPD,NO REPORT NEEDED
B16-20568,5/30/16,4:38 PM,May,Monday,DISTURBANCE IP,500 S LIBERTY DR; KROGER WHITEHALL,LB403,BPD,NO REPORT NEEDED
B16-20585,5/30/16,8:48 PM,May,Monday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-20597,5/30/16,10:56 PM,May,Monday,DRUNK,S WALNUT ST & E 2ND ST,LB103,BPD,NO REPORT NEEDED
B16-20515,5/30/16,1:23 AM,May,Monday,NOISE,1600 N WILLIS DR; LOT 89,LB513,BPD,NO REPORT NEEDED
B16-20612,5/30/16,11:31 PM,May,Monday,NOISE,2619 E 2ND ST; POOL,LB304,BPD,NO REPORT NEEDED
B16-20564,5/30/16,3:57 PM,May,Monday,NOISE,3100 S WALNUT STREET PIKE; apt b100,LB336,BPD,NO REPORT NEEDED
B16-20609,5/30/16,11:39 PM,May,Monday,NOISE,703 W GOURLEY PIKE; COLONIAL CREST APARTMENTS,LB513,BPD,NO REPORT NEEDED
B16-20601,5/30/16,10:08 PM,May,Monday,NOISE,S STATE ROAD 446 & E GENTRY BLVD,LB308,BPD,NO REPORT NEEDED
B16-20530,5/30/16,9:10 AM,May,Monday,VANDALISM NP,2612 N CASCADE DR,LB510,BPD,REPORT NEEDED
B16-20533,5/30/16,9:41 AM,May,Monday,VANDALISM NP,2631 N CASCADE DR,LB510,BPD,REPORT NEEDED
B16-20548,5/30/16,12:10 PM,May,Monday,VANDALISM NP,310 W HILLSIDE DR,LB412,BPD,REPORT NEEDED
B16-20575,5/30/16,6:34 PM,May,Monday,VANDALISM NP,321 E 14TH ST; TERRA TRACE APARTMENTS,LB213,BPD,NO REPORT NEEDED
B16-20623,5/31/16,2:56 AM,May,Tuesday,DISTURBANCE IP,121 E KIRKWOOD AVE; CVS DOWNTOWN,LB102,BPD,NO REPORT NEEDED
B16-20618,5/31/16,1:54 AM,May,Tuesday,DISTURBANCE IP,1300 W 13TH ST,LB517,BPD,REPORT NEEDED
B16-20632,5/31/16,4:56 AM,May,Tuesday,DISTURBANCE IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT NEEDED
B16-20627,5/31/16,3:27 AM,May,Tuesday,DISTURBANCE IP,220 E 3RD ST; POLICE DEPARTMENT HEADQUARTERS,LB104,BPD,NO REPORT NEEDED
B16-20605,5/31/16,12:00 AM,May,Tuesday,DISTURBANCE IP,703 W GOURLEY PIKE; COLONIAL CREST APARTMENTS,LB513,BPD,REPORT NEEDED
B16-20723,5/31/16,9:43 PM,May,Tuesday,DISTURBANCE IP,S WALNUT ST & E WINSLOW RD,LB422,BPD,NO REPORT NEEDED
B16-20608,5/31/16,12:18 AM,May,Tuesday,DRUNK,W BLOOMFIELD RD & S OAKDALE DR,LB417,BPD,NO REPORT NEEDED
B16-20617,5/31/16,1:48 AM,May,Tuesday,NOISE,1104 N GRANT ST; APT 1,LB213,BPD,NO REPORT NEEDED
B16-20625,5/31/16,2:50 AM,May,Tuesday,NOISE,1175 S COLLEGE MALL RD; KROGER JACKSON CREEK,LB310,BPD,NO REPORT NEEDED
B16-20733,5/31/16,9:49 PM,May,Tuesday,NOISE,1421 W ALLEN ST,LB413,BPD,NO REPORT NEEDED
B16-20613,5/31/16,12:41 AM,May,Tuesday,NOISE,508 S BASSWOOD DR; APT D,LB404,BPD,NO REPORT NEEDED
B16-20714,5/31/16,7:54 PM,May,Tuesday,NOISE,S HUNTINGTON DR & E THORNTON DR,LB316,BPD,NO REPORT NEEDED
B16-20656,5/31/16,10:47 AM,May,Tuesday,PANHANDLING,430 E KIRKWOOD AVE,LB104,BPD,NO REPORT NEEDED
B16-20648,5/31/16,9:38 AM,May,Tuesday,VANDALISM NP,1400 S BRENDA LN; TEMPLETON ELEMENTARY SCHOOL,LB313,BPD,REPORT NEEDED
B16-20644,5/31/16,8:49 AM,May,Tuesday,VANDALISM NP,2602 N CASCADE DR,LB510,BPD,REPORT NEEDED
B16-20759,6/1/16,1:34 AM,June,Wednesday,DISTURBANCE IP,3100 S WALNUT STREET PIKE;APT A89,LB336,BPD,NO REPORT NEEDED
B16-20798,6/1/16,10:57 AM,June,Wednesday,DISTURBANCE IP,408 E 6TH ST; BOX CAR BOOKS,LB102,BPD,NO REPORT NEEDED
B16-20859,6/1/16,7:00 PM,June,Wednesday,DISTURBANCE IP,502 E KIRKWOOD AVE; KILROYS KIRKWOOD,LB104,BPD,NO REPORT NEEDED
B16-20892,6/1/16,10:53 PM,June,Wednesday,DRUNK,W GOURLEY PIKE & N KINSER PIKE,LB512,BPD,NO REPORT NEEDED
B16-20894,6/1/16,10:58 PM,June,Wednesday,NOISE,2304 S WINSLOW CT; HENDERSON COURT,LB326,BPD,NO REPORT NEEDED
B16-20760,6/1/16,1:14 AM,June,Wednesday,NOISE,525 S PATTERSON DR; APT 2206,LB406,BPD,NO REPORT NEEDED
B16-20848,6/1/16,5:25 PM,June,Wednesday,PANHANDLING,111 N DUNN ST; HARTZELLS ICE CREAM,LB102,BPD,NO REPORT NEEDED
B16-20763,6/1/16,2:00 AM,June,Wednesday,PANHANDLING,555 W LAVA WAY,LB513,BPD,REPORT NEEDED
B16-20781,6/1/16,8:46 AM,June,Wednesday,PANHANDLING,E 3RD ST & S CLARIZZ BLVD,LB221,BPD,NO REPORT NEEDED
B16-20796,6/1/16,10:43 AM,June,Wednesday,VANDALISM NP,3220 E 3RD ST; BLOOMINGFOODS,LB305,BPD,REPORT NEEDED
B16-20817,6/1/16,1:13 PM,June,Wednesday,VANDALISM NP,421 S COLLEGE AVE; PLANNED PARENTHOOD,LB103,BPD,REPORT NEEDED
B16-20794,6/1/16,10:32 AM,June,Wednesday,VANDALISM NP,521 W SMITH AVE,LB409,BPD,REPORT NEEDED
B16-20868,6/1/16,7:43 PM,June,Wednesday,VANDALISM NP,901 N MAPLE ST,LB518,BPD,REPORT NEEDED
B16-20993,6/2/16,4:48 PM,June,Thursday,DISTURBANCE IP,1211 W 2ND ST,LB406,BPD,NO REPORT NEEDED
B16-21037,6/2/16,10:30 PM,June,Thursday,DISTURBANCE IP,3100 S WALNUT STREET PIKE,LB336,BPD,REPORT NEEDED
B16-21010,6/2/16,6:53 PM,June,Thursday,DISTURBANCE IP,431 S VILLAGE CT,LB402,BPD,NO REPORT NEEDED
B16-21042,6/2/16,11:00 PM,June,Thursday,DISTURBANCE IP,510 E 17TH ST; IU CREDIT UNION NORTH,LB214,BPD,NO REPORT NEEDED
B16-20944,6/2/16,10:26 AM,June,Thursday,DISTURBANCE IP,S ROCKPORT RD & W TAPP RD,LB432,BPD,NO REPORT NEEDED
B16-21033,6/2/16,9:18 PM,June,Thursday,NOISE,600 E 1ST ST,LB302,BPD,NO REPORT NEEDED
B16-20925,6/2/16,8:19 AM,June,Thursday,VANDALISM NP,1116 N WALNUT ST,LB213,BPD,REPORT NEEDED
B16-20963,6/2/16,12:42 PM,June,Thursday,VANDALISM NP,3777 S BAINBRIDGE DR,LB335,BPD,NO REPORT NEEDED
B16-20936,6/2/16,9:07 AM,June,Thursday,VANDALISM NP,3777 S BAINBRIDGE DR,LB335,BPD,NO REPORT NEEDED
B16-20953,6/2/16,11:09 AM,June,Thursday,VANDALISM NP,630 S PATTERSON DR; UNIT 15,LB406,BPD,NO REPORT NEEDED
B16-21063,6/3/16,3:35 AM,June,Friday,DISTURBANCE IP,1008 N OOLITIC DR,LB517,BPD,NO REPORT NEEDED
B16-21109,6/3/16,11:53 AM,June,Friday,DISTURBANCE IP,101 W 2ND ST; SEMINARY PARK,LB410,BPD,NO REPORT NEEDED
B16-21157,6/3/16,5:53 PM,June,Friday,DISTURBANCE IP,1115 S WALNUT ST; CIRCLE K GRIMES AND WALNUT; CIRK,LB314,BPD,NO REPORT NEEDED
B16-21053,6/3/16,12:43 AM,June,Friday,DISTURBANCE IP,1521 S OLIVE ST,LB316,BPD,NO REPORT NEEDED
B16-21103,6/3/16,10:28 AM,June,Friday,DISTURBANCE IP,225 N WASHINGTON ST,LB102,BPD,NO REPORT NEEDED
B16-21202,6/3/16,10:44 PM,June,Friday,DISTURBANCE IP,400 S VILLAGE CT,LB402,BPD,NO REPORT NEEDED
B16-21062,6/3/16,2:56 AM,June,Friday,DISTURBANCE IP,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL; FLR 6 PBX RM,LB409,BPD,NO REPORT NEEDED
B16-21159,6/3/16,6:01 PM,June,Friday,DISTURBANCE IP,750 S WALKER ST; MAPLE COURT MOBILE HOME COMMUNITY; APT 26,LB409,BPD,NO REPORT NEEDED
B16-21189,6/3/16,9:28 PM,June,Friday,NOISE,2500 S ROCKPORT RD; apt 1601,LB424,BPD,NO REPORT NEEDED
B16-21180,6/3/16,8:19 PM,June,Friday,NOISE,319 E 20TH ST; STADIUM VIEW III APARTMENTS,LB212,BPD,NO REPORT NEEDED
B16-21057,6/3/16,1:39 AM,June,Friday,NOISE,530 S WASHINGTON ST,LB301,BPD,NO REPORT NEEDED
B16-21056,6/3/16,1:10 AM,June,Friday,NOISE,536 S WASHINGTON ST,LB301,BPD,NO REPORT NEEDED
B16-21051,6/3/16,12:20 AM,June,Friday,NOISE,536 S WASHINGTON ST,LB301,BPD,NO REPORT NEEDED
B16-21173,6/3/16,7:23 PM,June,Friday,NOISE,N COLLEGE AVE & W 6TH ST,LB101,BPD,NO REPORT NEEDED
B16-21177,6/3/16,8:26 PM,June,Friday,PANHANDLING,S DUNN ST & E KIRKWOOD AVE,LB102,BPD,NO REPORT NEEDED
B16-21073,6/3/16,5:05 AM,June,Friday,VANDALISM NP,1221 N LINDBERGH DR,LB517,BPD,REPORT NEEDED
B16-21225,6/4/16,1:32 AM,June,Saturday,DISTURBANCE IP,1203 N MADISON ST,LB518,BPD,REPORT NEEDED
B16-21287,6/4/16,4:11 PM,June,Saturday,DISTURBANCE IP,411 S WOODSCREST DR; CAMPUS LAUNDRY EAST; EASTLAND PLAZA,LB304,BPD,REPORT NEEDED
B16-21299,6/4/16,5:26 PM,June,Saturday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-21294,6/4/16,4:42 PM,June,Saturday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,REPORT NEEDED
B16-21276,6/4/16,2:31 PM,June,Saturday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-21264,6/4/16,12:59 PM,June,Saturday,DISTURBANCE IP,501 E KIRKWOOD AVE; PEOPLES PARK,LB102,BPD,NO REPORT NEEDED
B16-21286,6/4/16,3:41 PM,June,Saturday,DISTURBANCE IP,548 S BASSWOOD DR; APT G,LB404,BPD,REPORT NEEDED
B16-21254,6/4/16,11:16 AM,June,Saturday,DRUNK,2160 N WALNUT ST; DENNYS,LB212,BPD,NO REPORT NEEDED
B16-21232,6/4/16,3:53 AM,June,Saturday,DRUNK,601 W 2ND ST; IU HEALTH BLOOMINGTON HOSPITAL,LB409,BPD,NO REPORT NEEDED
B16-21234,6/4/16,5:11 AM,June,Saturday,DRUNK,800 N SMITH RD; MEADOW PARK,LB218,BPD,NO REPORT NEEDED
B16-21325,6/4/16,8:48 PM,June,Saturday,NOISE,1110 S BROOKS DR,LB311,BPD,NO REPORT NEEDED
B16-21322,6/4/16,8:13 PM,June,Saturday,NOISE,209 E 8TH ST ;COMPOSER HOUSE,LB102,BPD,NO REPORT NEEDED
B16-21298,6/4/16,4:55 PM,June,Saturday,NOISE,2655 S ADAMS ST; CORNERSTONE CHRISTIAN FELLOWSHIP,LB524,BPD,NO REPORT NEEDED
B16-21338,6/4/16,10:23 PM,June,Saturday,NOISE,950 S MAXWELL TER; APT D,LB312,BPD,NO REPORT NEEDED
B16-21314,6/4/16,6:35 PM,June,Saturday,NOISE,S PALMER AVE & E DODDS ST,LB314,BPD,NO REPORT NEEDED
B16-21311,6/4/16,6:55 PM,June,Saturday,PANHANDLING,1602 S WALNUT ST; FAST MAX,LB421,BPD,NO REPORT NEEDED
B16-21303,6/4/16,5:44 PM,June,Saturday,VANDALISM NP,1301 W 13TH ST,LB517,BPD,REPORT NEEDED
B16-21282,6/4/16,3:03 PM,June,Saturday,VANDALISM NP,360 N JACOB DR; O CHARLEYS,LB523,BPD,REPORT NEEDED
